"","slice","avgAC","subj","hemi","roi"
"112",17,29831.5857872596,126426,"R","CA1"
"113",18,28433.0934053309,126426,"R","CA1"
"114",19,30663.2888104839,126426,"R","CA1"
"115",20,33675.3882211538,126426,"R","CA1"
"116",1,31359.847265625,126426,"R","CA4DG"
"117",2,33466.85546875,126426,"R","CA4DG"
"118",3,30217.151953125,126426,"R","CA4DG"
"119",4,27026.4248046875,126426,"R","CA4DG"
"120",5,30491.2679036458,126426,"R","CA4DG"
"121",6,33194.7375,126426,"R","CA4DG"
"122",7,32512.7781808036,126426,"R","CA4DG"
"123",8,37111.7446289062,126426,"R","CA4DG"
"124",9,31682.8120659722,126426,"R","CA4DG"
"125",10,30634.0811941964,126426,"R","CA4DG"
"126",11,29456.1106770833,126426,"R","CA4DG"
"127",12,32034.6142578125,126426,"R","CA4DG"
"128",13,28041.5333180147,126426,"R","CA4DG"
"129",14,24648.1584472656,126426,"R","CA4DG"
"130",15,28637.9631696429,126426,"R","CA4DG"
"131",1,34121.6174665179,126426,"R","CA2CA3"
"132",2,41261.1977796053,126426,"R","CA2CA3"
"133",3,38306.7110770089,126426,"R","CA2CA3"
"134",4,30078.296875,126426,"R","CA2CA3"
"135",5,25264.3637695312,126426,"R","CA2CA3"
"136",6,26646.7223307292,126426,"R","CA2CA3"
"137",7,23728.5810546875,126426,"R","CA2CA3"
"138",8,35024.3515625,126426,"R","CA2CA3"
"139",9,40620.1569010417,126426,"R","CA2CA3"
"140",10,42414.8372395833,126426,"R","CA2CA3"
"141",11,45325.9715401786,126426,"R","CA2CA3"
"142",12,51752.9584263393,126426,"R","CA2CA3"
"143",13,31234.051953125,126426,"R","CA2CA3"
"144",14,30655.8403320312,126426,"R","CA2CA3"
"145",15,31241.8141276042,126426,"R","CA2CA3"
"146",16,28078.2065805288,126426,"R","CA2CA3"
"147",17,41111.3190104167,126426,"R","CA2CA3"
"148",1,39783.0962611607,126426,"R","subiculum"
"149",2,29054.2942708333,126426,"R","subiculum"
"150",3,30030.5132378472,126426,"R","subiculum"
"151",4,32512.1287109375,126426,"R","subiculum"
"152",5,41708.6651278409,126426,"R","subiculum"
"153",6,45870.0115411932,126426,"R","subiculum"
"154",7,51329.96484375,126426,"R","subiculum"
"155",8,67768.53515625,126426,"R","subiculum"
"156",9,88870.8698730469,126426,"R","subiculum"
"157",10,60786.0859375,126426,"R","subiculum"
"158",11,47823.0630580357,126426,"R","subiculum"
"159",12,53980.11328125,126426,"R","subiculum"
"160",13,41756.3583984375,126426,"R","subiculum"
"161",14,45034.8515625,126426,"R","subiculum"
"162",15,35012.9009486607,126426,"R","subiculum"
"163",16,39054.8670479911,126426,"R","subiculum"
"164",17,36794.9287109375,126426,"R","subiculum"
"165",18,35616.7073317308,126426,"R","subiculum"
"166",19,42172.8151041667,126426,"R","subiculum"
"167",1,31646.9252929688,126426,"R","SRLM"
"168",2,34221.873046875,126426,"R","SRLM"
"169",3,29039.2293526786,126426,"R","SRLM"
"170",4,26189.9724121094,126426,"R","SRLM"
"171",5,31245.229296875,126426,"R","SRLM"
"172",6,35517.6254882812,126426,"R","SRLM"
"173",7,31132.190234375,126426,"R","SRLM"
"174",8,36345.5377604167,126426,"R","SRLM"
"175",9,36154.8458806818,126426,"R","SRLM"
"176",10,30323.3547585227,126426,"R","SRLM"
"177",11,31249.6703125,126426,"R","SRLM"
