"","slice","avgAC","subj","hemi","roi"
"111",6,50727.9322916667,130114,"L","CA1"
"112",7,44669.8650914634,130114,"L","CA1"
"113",8,40429.7215465199,130114,"L","CA1"
"114",9,40786.9669363839,130114,"L","CA1"
"115",10,33470.7448730469,130114,"L","CA1"
"116",11,33384.7165670956,130114,"L","CA1"
"117",1,46807.333984375,130114,"L","CA4DG"
"118",2,51466.8454589844,130114,"L","CA4DG"
"119",3,56477.94921875,130114,"L","CA4DG"
"120",4,53154.2389322917,130114,"L","CA4DG"
"121",5,45137.9633789062,130114,"L","CA4DG"
"122",6,43057.321875,130114,"L","CA4DG"
"123",7,51086.099609375,130114,"L","CA4DG"
"124",1,39513.88046875,130114,"L","CA2CA3"
"125",2,45855.3753255208,130114,"L","CA2CA3"
"126",3,42803.1237792969,130114,"L","CA2CA3"
"127",4,42245.6867675781,130114,"L","CA2CA3"
"128",5,46123.290625,130114,"L","CA2CA3"
"129",6,60744.3286830357,130114,"L","CA2CA3"
"130",7,58993.1432516164,130114,"L","CA2CA3"
"131",8,54476.2458147321,130114,"L","CA2CA3"
"132",9,52894.8990885417,130114,"L","CA2CA3"
"133",1,59567.7213541667,130114,"L","subiculum"
"134",2,64979.2385817308,130114,"L","subiculum"
"135",3,58898.5824962798,130114,"L","subiculum"
"136",4,56043.259375,130114,"L","subiculum"
"137",5,49796.2582347973,130114,"L","subiculum"
"138",6,48716.7868652344,130114,"L","subiculum"
"139",7,39430.8390764509,130114,"L","subiculum"
"140",8,32524.7734375,130114,"L","subiculum"
"141",9,29523.31640625,130114,"L","subiculum"
"142",1,55814.16796875,130114,"L","SRLM"
"143",2,55126.8139648438,130114,"L","SRLM"
"144",3,48787.5796440972,130114,"L","SRLM"
"145",4,46008.2087402344,130114,"L","SRLM"
"146",5,49701.2367466518,130114,"L","SRLM"
"147",6,43474.9027994792,130114,"L","SRLM"
"148",7,41973.1926033266,130114,"L","SRLM"
"149",8,39684.0459359976,130114,"L","SRLM"
"150",9,38711.8827311198,130114,"L","SRLM"
"151",10,35998.4157986111,130114,"L","SRLM"
"152",1,48282.3828125,130114,"R","CA1"
"153",2,60340.5166377315,130114,"R","CA1"
"154",3,64449.4981617647,130114,"R","CA1"
"155",4,54597.3551682692,130114,"R","CA1"
"156",5,51801.543138587,130114,"R","CA1"
"157",6,51329.7101456926,130114,"R","CA1"
"158",7,56198.6560329861,130114,"R","CA1"
"159",8,62111.7018229167,130114,"R","CA1"
"160",9,63686.7275390625,130114,"R","CA1"
"161",10,67609.3935546875,130114,"R","CA1"
"162",11,68744.2592329545,130114,"R","CA1"
"163",12,61071.1044921875,130114,"R","CA1"
"164",1,76200.671875,130114,"R","CA4DG"
"165",2,77924.6063368056,130114,"R","CA4DG"
"166",3,65232.6231971154,130114,"R","CA4DG"
"167",4,55727.53125,130114,"R","CA4DG"
"168",5,58718.8993566177,130114,"R","CA4DG"
"169",6,58230.4200721154,130114,"R","CA4DG"
